idx,orig_label,confidence,ig_top_tokens,shap_top_tokens,topk_overlap
63,neutral,0.9991254210472107,"to, the, members, addition, established, -, committee, sar","decided, appoint, board, a, committee, committee, board, members",0.25
64,neutral,0.9991394281387329,"be, be, to, o, in, delivered, ., will","golden, corporation, delivered, supplied, martinez, will, be, s",0.375
65,neutral,0.9991812109947205,"news, range, of, and, lated, a, as, '","sources, of, broker, x, and, from, uk, af",0.25
66,neutral,0.9991909861564636,"be, ., can, material, after, in, on, the","website, in, viewed, after, company, on, material, english",0.5
67,neutral,0.9991030693054199,"are, and, and, ., approximately, served, markets, people",",, are, served, approximately, 13, by, markets, and",0.625
68,positive,0.9989835619926453,"from, lifted, in, profit, ed, to, its, rocket","rocket, lifted, to, ed, from, eu, 4, 6",0.625
69,negative,0.998164713382721,"lost, has, 4, ., ki, in, s, ru","lost, has, that, it, failed, project, r, .",0.375
70,positive,0.9988915324211121,"growing, currently, cent, ., ,, with, per, stands","growing, 9, dollars, ,, stands, billion, at, .",0.5
71,neutral,0.9991914629936218,"is, ., value, about, of, mn, ., the","is, about, mn, contracts, value, 3, r, .",0.625
72,positive,0.9990378618240356,"increased, from, compared, period, sales, respectively, to, .","compared, increased, to, 2005, profit, ,, as, operating",0.375
73,negative,0.9985328912734985,"decreased, from, for, million, said, 4, ., profit","decreased, profit, from, for, 2007, 2008, million, 6",0.625
74,neutral,0.9991012811660767,"and, for, accounting, equity, about, will, the, about","rights, of, 12, mets, ., ka, ., neo",0.0
75,negative,0.9983929991722107,"loss, reported, net, a, profit, net, million, million","loss, of, compared, with, a, net, euro, 86",0.375
76,positive,0.9981274008750916,"compared, to, ., total, ,, 2, ., negative","compared, a, to, eu, r, 0, negative, 71",0.375
77,neutral,0.9991359114646912,"is, a, with, ,, ,, and, contract, lu","is, contract, ,, p, and, india, electronics, estonia",0.5
78,positive,0.9987855553627014,"increase, profit, a, net, quarter, in, saw, to","strong, increase, sales, to, in, profit, euro, 47",0.5
79,neutral,0.9991719722747803,"spread, be, 2011, ,, will, and, 2012, money","mainly, spread, 2012, will, company, over, said, ,",0.5
80,positive,0.9976971745491028,"sufficient, enable, these, line, ensure, that, has, the","enable, line, ensure, in, arrangements, ,, for, sufficient",0.5
81,neutral,0.9989516735076904,"of, of, and, and, includes, hybrid, for, the","to, services, video, ,, including, to, components, and",0.125
82,negative,0.9985370635986328,"loss, profit, slipped, net, net, today, million, of","loss, slipped, net, it, from, half, 2, million",0.5
83,positive,0.9990655779838562,"from, to, rose, r, in, ., r, eu","rose, from, eu, to, profit, r, 1, eu",0.625
84,neutral,0.9990400671958923,"and, as, households, ,, catering, ,, ,, ,","serves, various, ,, including, ,, catering, industries, as",0.375
85,neutral,0.9988981485366821,"., weight, ', `, broker, recommendations, up, equal","weight, with, under, `, ratings, ', and, and",0.375
86,neutral,0.9987356066703796,"status, is, ., ., of, petersburg, st, for","participants, saying, status, capital, as, meeting, ,, .",0.25
87,neutral,0.9990760087966919,"is, annual, 10, ,, ., mw, capacity, 000","some, 10, is, 000, mw, capacity, its, ,",0.75
88,neutral,0.9991269707679749,"and, by, invention, relates, to, to, and, as","relates, world, or, manufacture, according, property, intellectual, and",0.25
89,negative,0.998537540435791,"decrease, a, from, %, in, ,, of, sales","decrease, of, %, from, october, 5, ., 2008",0.5
90,positive,0.999054491519928,"rose, sales, %, to, net, the, ,, in","rose, net, sales, %, to, year, -, year",0.625
91,neutral,0.999228835105896,"organized, comprises, different, will, ., in, which, in","different, comprises, ore, treating, streams, four, ball, platinum",0.25
92,neutral,0.9991938471794128,"., ,, be, e, will, the, manufacture, unit","., mumbai, near, manufacture, undertaken, ila, at, at",0.25
93,neutral,0.9988527297973633,"2009, ,, be, 2010, at, oma, ., in","expects, be, level, at, the, 2009, oma, .",0.625
94,neutral,0.9984678626060486,"repeating, opinion, however, n, the, r, that, this","opinion, has, this, time, repeating, already, that, however",0.625
95,neutral,0.9991752505302429,"., from, been, ordered, the, wt, india, has","has, ordered, vessel, approximately, 000, ,, 20, .",0.375
96,neutral,0.9991822838783264,"has, ., approximately, in, polis, techno, j, y","approximately, vas, companies, ky, ., polis, techno, la",0.5
97,neutral,0.9987390637397766,"of, two, ., vi, ', finland, sales, ol","finland, outside, thirds, almost, of, s, come, '",0.375
98,neutral,0.9990713596343994,"o, now, and, the, which, shares, of, art","represents, owns, shares, interactive, the, share, now, capital",0.375
99,neutral,0.9991114735603333,"consists, of, ,, in, and, client, ,, founded","major, founded, firms, consists, companies, and, ,, trading",0.5
100,positive,0.999066174030304,"rose, to, by, ., %, -, ., 26","rose, to, 9, %, by, 26, profit, operating",0.625
101,positive,0.5936223268508911,"relatively, levels, remain, sales, good, however, at, volumes","good, levels, said, to, remain, however, ., at",0.625
102,negative,0.9982556700706482,"loss, total, compared, operating, eu, led, 8, 4","loss, ,, profit, to, led, mn, of, compared",0.375
103,neutral,0.9981549382209778,"fun, ., would, fishing, players, ,, tournaments, and","fun, tournaments, actually, player, multiplayer, fishing, different, much",0.375
104,negative,0.9409728050231934,"reduction, significant, %, moderate, a, in, ., 32","reduction, changes, significant, resulted, in, %, moderate, 24",0.625
105,neutral,0.999098539352417,"., and, in, over, mainly, in, oted, in","over, 200, mainly, amanda, has, companies, capital, funds",0.25
106,negative,0.9985930323600769,"decreased, decreased, by, sales, sales, ,, by, .","decreased, decreased, by, by, by, in, terms, sales",0.375
107,positive,0.9990411400794983,"rose, from, to, ., ., million, eu, 62","rose, from, to, eu, r, million, year, net",0.625
108,negative,0.9984130859375,"loss, total, company, eu, the, led, s, operating","loss, compared, to, operating, mn, ,, a, profit",0.25
109,positive,0.9990195035934448,"up, from, to, ,, loss, ., of, the","up, from, the, loss, of, ., eu, r",0.75
110,positive,0.9974188804626465,"higher, ., ,, to, net, ', currency, favourable","favourable, higher, contributed, also, currency, to, rates, sales",0.5
111,negative,0.9982012510299683,"negative, compared, eu, was, ., a, cash, to","negative, to, compared, a, eu, ,, 23, eu",0.625
112,neutral,0.9989681243896484,"2002, ,, is, ,, ,, set, ste, bordeaux","southwestern, based, is, ,, set, ., up, in",0.375
113,positive,0.9990416169166565,"rose, to, from, ., from, ., ., mn","rose, from, to, eu, eu, from, r, cash",0.375
114,neutral,0.9986937642097473,"at, approved, the, the, mun, 40, for, the","members, directors, ., eration, ., board, board, chairman",0.0
115,positive,0.9937606453895569,"field, activity, higher, developments, partly, policy, nd, these","higher, in, reflect, government, partly, of, field, the",0.375
116,neutral,0.8106458783149719,"increase, tama, following, this, m, outstanding, number, registered","increase, following, 320, this, outstanding, is, 0, s",0.5
117,positive,0.9975802898406982,"better, has, true, seen, a, ', with, .","better, turning, true, pricing, a, point, ', `",0.5
118,positive,0.9925220608711243,"well, current, line, with, ., viking, manages, its","well, with, ferries, current, its, manages, viking, line",0.875
119,negative,0.9984093308448792,"down, to, from, slightly, went, profit, ., net","from, down, slightly, 25, to, 25, 2008, of",0.5
120,neutral,0.999159574508667,"be, ., company, will, ,, necessary, estimated, investment","necessary, total, m, be, ., r, will, the",0.5
121,neutral,0.9991661310195923,"be, will, live, on, www, site, ce, ce","com, ce, ., site, available, rner, and, be",0.375
122,neutral,0.9984789490699768,"economic, tried, to, doing, rs, mu, malaysia, to","gather, how, to, economic, tried, perspective, macro, said",0.375
123,positive,0.9990413784980774,"from, up, ., led, ., -, operating, eu","up, from, profit, eu, led, ., ,, 23",0.625
124,positive,0.9990326166152954,"increased, compared, period, ., by, sales, profit, as","month, period, increased, and, as, compared, ., to",0.625
125,neutral,0.999030351638794,"is, ne, stock, bought, of, the, station, voss","immediate, vicinity, station, voss, tani, the, ,, .",0.375
126,neutral,0.9985848665237427,"not, has, indicated, ', consolidation, ., -, said","any, domestic, ', not, any, s, has, in",0.375
127,neutral,0.9927119016647339,"totaled, profit, after, r, 1, ., ., taxes","profit, after, taxes, totaled, 12, 1, eu, .",0.75
128,neutral,0.9988476037979126,"will, ,, succeed, ., decided, she, tel, has","has, who, ra, leave, will, tel, succeed, decided",0.625
129,neutral,0.9989450573921204,"m, 2007, of, 5, pl, an, r, .","eu, r, of, m, 12, 2007, in, 5",0.625
130,neutral,0.9985700845718384,"expired, this, a, month, 2001, agreement, ., earlier","expired, 2001, agreement, this, earlier, a, month, .",1.0
131,negative,0.9986246824264526,"fell, profit, to, 24, 15, from, operating, r","fell, profit, eu, 1, mn, eu, 24, r",0.5
132,neutral,0.9987238049507141,"matter, is, measures, further, considering, kko, me, .","matter, the, kko, is, measures, in, mari, considering",0.625
133,neutral,0.9985613226890564,"all, depends, financing, ., on","all, ., financing, depends, on",0.625
134,neutral,0.9991356730461121,"of, stock, were, 1, stock, options, total, ,","issued, scheme, 000, option, stock, options, ., were",0.375
135,neutral,0.9991165995597839,"represent, share, %, 5, now, the, of, and","represent, %, 620, and, o, :, j, share",0.5
136,neutral,0.9990573525428772,"part, and, of, russia, of, is, ize, state","part, is, the, ,, of, development, state, information",0.5
137,neutral,0.9990917444229126,"operates, ., and, and, district, mans, ty, nsk","operates, ly, che, autonomous, in, and, company, regions",0.25
138,neutral,0.9990899562835693,"., -, and, consists, portfolio, industry, for, customers","sized, and, primarily, consists, ., of, portfolio, company",0.5
139,neutral,0.9991554021835327,"and, laboratories, product, building, test, house, ., development","laboratories, test, and, building, will, development, the, product",0.75
140,negative,0.9965903759002686,"loss, net, versus, net, swung, a, for, ,","loss, versus, of, swung, 400, a, net, to",0.625
141,neutral,0.9989584684371948,"gradually, be, closed, be, and, ki, 2009, smaller","relocated, gradually, poland, s, end, ', by, and",0.25
142,neutral,0.9906010627746582,"gradually, 2010, %, end, reach, according, rep, .","gradually, according, 2010, s, ea, ,, %, reach",0.625
143,positive,0.9988652467727661,"increase, positive, the, ., operating, for, its, the","increase, positive, to, be, -, to, the, operating",0.5
144,negative,0.9985716342926025,"decreased, from, %, profit, to, by, ., 2","decreased, 0, from, 133, profit, r, mn, %",0.5
145,neutral,0.9991218447685242,"be, and, of, date, of, are, and, be","be, agreement, this, resulting, initiatives, market, number, will",0.125
146,positive,0.9990130662918091,"increase, considerably, current, ., reserves, area, in, expected","increase, to, expected, are, considerably, tu, lik, '",0.375
147,neutral,0.9980105757713318,"continued, the, a, antibody, human, of, its, company","fully, continued, human, in, its, antibody, antibody, company",0.625
148,neutral,0.9991757273674011,"is, is, market, ted, total, per, liga, value",",, 400, k, 000, day, per, market, is",0.375
149,neutral,0.9990045428276062,"addition, of, be, will, dem, appointed, of, ,","addition, responsibilities, ,, kka, director, vice, managing, his",0.25
150,positive,0.9990377426147461,"increased, compared, from, sales, period, ., respectively, to","compared, increased, profit, as, 5, sales, operating, ,",0.375
151,neutral,0.9990629553794861,"were, was, ., and, /, 2007, eu, 31","profit, was, ., and, were, before, group, period",0.5
152,neutral,0.999043881893158,"are, made, ., ', %, and, finland, ,","finland, already, outside, %, is, ,, the, of",0.375
153,positive,0.9979605674743652,"compared, to, loss, of, total, ., ., 0","compared, to, loss, 159, profit, of, ,, eu",0.5
154,neutral,0.9991936087608337,"are, ,, in, biggest, and, the, capital, ve","shareholders, are, and, capital, berlin, capital, um, o",0.375
155,neutral,0.998908519744873,"divide, ., be, will, a, to, propose, for","propose, eu, a, 0, nd, divide, directors, 95",0.375
156,neutral,0.9989721775054932,"pre, and, net, profit, of, had, eu, a","profit, of, mn, 1, ., tax, pre, 8",0.375
157,positive,0.9990376234054565,"increased, from, period, compared, ., respectively, sales, profit","compared, increased, from, to, 2004, ., eu, 4",0.5
158,negative,0.9985989928245544,"down, from, ,, profit, the, 1, 0, in","down, 1, from, eu, total, r, led, .",0.375
159,positive,0.9988749623298645,"won, a, expansion, order, $, it, for, .","expansion, won, a, of, 2006, it, order, to",0.625
160,positive,0.9990472197532654,"from, increase, estimated, was, excluding, to, -, e","increase, from, estimated, to, items, recurring, non, was",0.625
161,positive,0.999007523059845,"rose, to, from, uted, ., r, dil, 68","rose, from, eu, eu, to, uted, eps, .",0.625
162,neutral,0.9992002844810486,"about, ., of, the, is, n, 600, value","about, is, investment, r, 600, value, total, m",0.5
163,neutral,0.9992026686668396,"be, o, and, his, will, by, uta, ble","and, will, division, ., hint, by, this, services",0.375
164,neutral,0.9992151260375977,"is, about, of, the, 25, ., n, value","is, about, orders, r, value, m, 25, .",0.625
165,positive,0.9981297850608826,"good, was, 2005, ., demand, for, in, equipment","good, in, 2005, was, demand, `, ., sports",0.75
166,neutral,0.9987446069717407,"decision, reflects, ., which, as, lis, the, the","lis, uti, reflects, the, under, ation, decision, of",0.5
167,negative,0.998619556427002,"decreased, sales, to, ', eu, ., ., r","decreased, from, 7, to, mn, sales, 520, ,",0.375
168,neutral,0.999103307723999,"., industrial, include, as, ,, mobile, ,, their","include, accessories, modules, ,, as, products, their, -",0.5
169,neutral,0.9992364645004272,"and, which, of, and, shares, ., change, the",":, shares, represents, %, ., ,, 298, corporation",0.25
170,positive,0.9990311861038208,"rose, to, from, ., s, the, of, for","rose, to, from, 270, 275, 000, euro, sat",0.375
171,neutral,0.9990178346633911,"had, revenue, staff, ., 2008, mir, ., ke","revenue, approximately, of, recorded, mir, eu, 2, .",0.375
172,neutral,0.9991587400436401,"of, new, is, to, shares, number, ., be","shares, 22, new, to, million, maximum, of, number",0.625
173,neutral,0.9990831613540649,"and, profit, was, ,, eu, 2006, operating, eu","profit, ., 3, eu, r, operating, was, and",0.625
174,neutral,0.998504638671875,"amounted, earnings, share, 0, 01, eps, per, r","amounted, to, earnings, eps, per, share, 01, r",0.875
175,neutral,0.9991961121559143,"of, the, is, ., usd, estimated, ., the","million, estimated, is, of, 2, value, ., usd",0.625
176,neutral,0.9991806149482727,"is, ,, ., las, ton, tam, ,, ,","own, operates, is, unit, a, finland, and, processing",0.125
177,positive,0.999039351940155,"from, increased, to, by, sales, their, million, million","increased, to, their, year, brewer, ies, sales, by",0.625
178,neutral,0.9991577863693237,"the, which, of, 68, following, shares, of, and","owns, osta, ., shares, pan, share, 2007, and",0.25
179,negative,0.9981297850608826,"negative, compared, a, eu, 18, to, ., 2008","negative, mn, to, a, 1, compared, 39, r",0.5
180,neutral,0.9991081357002258,"korean, service, including, and, different, ., g, supports","si, i, service, supports, languages, and, russian, different",0.5
181,neutral,0.9991698265075684,"not, did, disclose, the, the, ., the, price","disclose, of, the, company, acquisition, did, not, the",0.5
182,positive,0.9990249872207642,"rose, to, to, doubled, from, from, ., from","doubled, rose, from, insurance, from, to, 3, eu",0.5
183,neutral,0.9991937279701233,"and, be, administration, made, shares, will, cash, share","made, shares, fee, in, be, will, r, for",0.5
184,positive,0.99903404712677,"increased, from, compared, period, sales, respectively, in, .","compared, increased, from, as, 2, ., 0, m",0.5
185,negative,0.9982441663742065,"loss, operating, compared, profit, over, &, 2008, to","loss, profit, compared, of, operating, 3, to, earlier",0.625
186,neutral,0.999079704284668,"are, ', of, s, sole, company, management, .","services, company, sole, ', management, the, advisory, of",0.625
187,neutral,0.9991974234580994,"is, nd, 2008, march, the, divide, record, 14","date, 2008, record, ., distribution, the, divide, march",0.625
188,positive,0.9990537762641907,"from, up, led, eu, ., 0, total, ,","up, from, r, eu, ., company, ', income",0.5
189,positive,0.9990654587745667,"from, grew, to, ., percent, ., euro, revenue","grew, from, 7, euro, 35, million, 1, million",0.375
190,positive,0.998878538608551,"won, deal, ., from, to, the, be, airline","won, deal, has, a, uk, to, air, with",0.375
191,neutral,0.9992056488990784,"., into, put, will, ,, be, to, vice","', ,, sections, form, ,, be, will, ,",0.375
192,positive,0.9978965520858765,"widened, loss, net, its, from, euro, ., 2007","widened, to, 3, 2007, from, 900, 000, euro",0.5
193,negative,0.9984361529350281,"fell, year, to, on, profit, in, ., .","fell, profit, year, to, 45, %, 5, .",0.625
194,neutral,0.9992008805274963,"., its, near, make, the, russia, manufacture, nokia","tyres, russia, plant, continue, to, in, will, make",0.25
195,neutral,0.999163031578064,"will, town, a, a, have, maine, of, paper","soon, owner, will, new, have, madison, ., of",0.375
196,positive,0.9984568357467651,"strengthened, will, sales, be, said, resources, s, also","strengthened, also, ,, be, resources, project, will, said",0.75
197,neutral,0.9989456534385681,"2008, m, system, net, in, ., haus, usd","million, eu, av, c, 7, haus, r, usd",0.25
198,neutral,0.9991549253463745,"of, invite, to, shares, their, %, shares, will","approximately, magazines, oma, shares, holding, %, invite, sell",0.375
199,positive,0.9987744688987732,"received, has, ., significant, term, order, -, for","received, significant, a, has, india, order, term, -",0.75
