idx,orig_label,text,top_tokens_orig,text_no_punct,top_tokens_no_punct,stability_no_punct,text_no_stopwords,top_tokens_no_stopwords,stability_no_stopwords
10,neutral,The acquisition is expected to take place by the end of August 2007 .,"is, 2007, take, august, to",The acquisition is expected to take place by the end of August 2007,"is, take, august, by, of",0.6,acquisition expected take place end August 2007.,"end, acquisition, august, 2007, expected",0.4
11,neutral,"According to HK Ruokatalo , almost all the meat used by the company comes from Finland .","., used, meat, the, tal",According to HK Ruokatalo almost all the meat used by the company comes from Finland,"comes, finland, used, meat, o",0.4,"According HK Ruokatalo, almost all meat used company comes Finland.","all, almost, company, comes, according",0.0
12,neutral,"Prior to the transaction , whose financial terms have not been disclosed , Alma Media owned 40 % of Kotikokki net .","media, not, disclosed, of, the",Prior to the transaction whose financial terms have not been disclosed Alma Media owned 40 of Kotikokki net,"not, have, the, ti, disclosed",0.6,"Prior transaction, whose financial terms not disclosed, Alma Media owned 40 % Kotikokki net.","terms, ti, %, ,, media",0.2
13,neutral,"The objective is that trading in the shares will commence on May 2 , 2007 .","is, that, 2, ,, may",The objective is that trading in the shares will commence on May 2 2007,"that, is, 2, may, the",0.8,"objective trading shares commence 2, 2007.","., 2007, shares, trading, objective",0.0
14,neutral,"Helsinki on October 22 , 2008 SSH COMMUNICATIONS SECURITY CORP Board of Directors For further information , please contact : Tomi Laamanen , Chairman , tel. +358 0 400 609 544 Distribution : NASDAQ OMX Helsinki Ltd. .","tel, information, of, for, x",Helsinki on October 22 2008 SSH COMMUNICATIONS SECURITY CORP Board of Directors For further information please contact Tomi Laamanen Chairman tel 358 0 400 609 544 Distribution NASDAQ OMX Helsinki Ltd,"please, information, of, contact, aman",0.4,"Helsinki October 22, 2008 SSH COMMUNICATIONS SECURITY CORP Board Directors further information, please contact: Tomi Laamanen, Chairman, tel. + 358 0 400 609 544 Distribution: NASDAQ OMX Helsinki Ltd..","., information, tel, ., :",0.4
15,positive,The company also said that in Poland a profitability program has been launched at the Oborniki steel frame and sandwich panel plant .,"ability, profit, poland, program, a",The company also said that in Poland a profitability program has been launched at the Oborniki steel frame and sandwich panel plant,"ability, profit, poland, program, launched",0.8,company also said Poland profitability program launched Oborniki steel frame sandwich panel plant.,"ability, profit, plant, program, company",0.6
16,neutral,"According to CapMan Plc 's Corporate Governance , the majority of the committees ' members shall be independent of the Company .","be, governance, shall, independent, '",According to CapMan Plc s Corporate Governance the majority of the committees members shall be independent of the Company,"s, be, governance, the, the",0.4,"According CapMan Plc ' s Corporate Governance, majority committees ' members shall independent Company.","committees, governance, majority, cap, shall",0.4
17,neutral,Increase in the number of shares is based on the option rights which were granted to the management of the company under the stock option plan 2006 .,"increase, ., 2006, is, were",Increase in the number of shares is based on the option rights which were granted to the management of the company under the stock option plan 2006,"increase, 2006, is, the, based",0.6,Increase number shares based option rights which granted management company under stock option plan 2006.,"number, increase, based, 2006, under",0.4
18,neutral,"Neste Oil s refineries have a combined crude oil refining capacity of approximately 260,000 barrels a day .","of, have, 260, iner, oil",Neste Oil s refineries have a combined crude oil refining capacity of approximately 260000 barrels a day,"of, have, capacity, ies, nest",0.4,"Neste Oil s refineries combined crude oil refining capacity approximately 260, 000 barrels day.","., combined, oil, oil, day",0.2
19,neutral,The financial statements release will be available after publishing on the Company 's internet pages at www.cargotec.com .,"., be, the, cargo, available",The financial statements release will be available after publishing on the Company s internet pages at wwwcargoteccom,"be, available, s, com, statements",0.4,financial statements release available after publishing Company ' s internet pages www. cargotec. com.,"available, www, statements, pages, company",0.2
20,positive,Finnish handling systems company Cargotec Oyj ( HEL : CGCBV ) said today that it won a EUR 13 million ( USD 16.6 m ) contract to deliver MacGregor hatch covers for ships ordered by Norwegian shipowner Grieg Shipping .,"won, ., it, for, today",Finnish handling systems company Cargotec Oyj HEL CGCBV said today that it won a EUR 13 million USD 166 m contract to deliver MacGregor hatch covers for ships ordered by Norwegian shipowner Grieg Shipping,"won, contract, for, a, it",0.6,Finnish handling systems company Cargotec Oyj ( HEL: CGCBV ) said today won EUR 13 million ( USD 16. 6 m ) contract deliver MacGregor hatch covers ships ordered Norwegian shipowner Grieg Shipping.,"won, covers, contract, eu, today",0.4
21,neutral,And that 's exactly what happened on a recent weekday when an East Haven baker was brought in to remind residents about the Easter tradition of making wheat and rice pies .,"what, that, east, s, .",And that s exactly what happened on a recent weekday when an East Haven baker was brought in to remind residents about the Easter tradition of making wheat and rice pies,"what, that, residents, east, an",0.6,' s exactly what happened recent weekday East Haven baker brought remind residents about Easter tradition making wheat rice pies.,"what, exactly, s, making, residents",0.4
22,negative,"Operating profit totaled EUR 6.7 mn , down from EUR 7.2 mn in the corresponding period in 2005 .","down, 7, in, ,, the",Operating profit totaled EUR 67 mn down from EUR 72 mn in the corresponding period in 2005,"down, from, r, eu, r",0.2,"Operating profit totaled EUR 6. 7 mn, down EUR 7. 2 mn corresponding period 2005.","down, period, mn, operating, corresponding",0.2
23,positive,"( ADP News ) - Feb 6 , 2009 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR 19.2 million ( USD 24.6 m ) for 2008 from EUR 17.5 million for 2007 .","from, rose, to, r, million",ADP News Feb 6 2009 Finnish fishing tackle company Rapala VMC Corp HEL RAP1V said today its net profit rose to EUR 192 million USD 246 m for 2008 from EUR 175 million for 2007,"from, to, rose, its, million",0.8,"( ADP News ) - Feb 6, 2009 - Finnish fishing tackle company Rapala VMC Corp ( HEL: RAP1V ) said today net profit rose EUR 19. 2 million ( USD 24. 6 m ) 2008 EUR 17. 5 million 2007.","rose, eu, r, net, profit",0.4
24,neutral,The enterprise value of Maritim Food AS has been determined as approximately EUR15m .,"., determined, value, r, as",The enterprise value of Maritim Food AS has been determined as approximately EUR15m,"determined, as, value, as, eu",0.6,enterprise value Maritim Food determined approximately EUR15m.,"determined, mari, approximately, 15, .",0.4
25,positive,"3 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V said yesterday its net profit rocketed to EUR4 .8 m in 2010 from EUR416 ,000 in 2009 and it lifted its dividend proposal .","from, lifted, in, profit, ed",3 February 2011 Finnish broadband data communication systems provider Teleste Oyj HEL TLT1V said yesterday its net profit rocketed to EUR4 8 m in 2010 from EUR416 000 in 2009 and it lifted its dividend proposal,"from, lifted, profit, in, to",0.8,"3 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL: TLT1V said yesterday net profit rocketed EUR4. 8 m 2010 EUR416, 000 2009 lifted dividend proposal.","profit, rocket, ed, lifted, net",0.6
26,neutral,"The contractor of the shopping center , China State Construction Engineering Corporation , has previously built e.g. airports , hotels and factories for large international customers in different parts of the world .","previously, ., has, different, ,",The contractor of the shopping center China State Construction Engineering Corporation has previously built eg airports hotels and factories for large international customers in different parts of the world,"previously, world, different, has, of",0.6,"contractor shopping center, China State Construction Engineering Corporation, previously built e. g. airports, hotels factories large international customers different parts world.","hotels, factories, previously, ,, large",0.4
27,positive,EPS grew to 0.04 eur from 0.02 eur .,"grew, from, to, eps, 0",EPS grew to 004 eur from 002 eur,"grew, from, 00, eps, eu",0.6,EPS grew 0. 04 eur 0. 02 eur.,"grew, ., 0, eps, .",0.6
28,negative,"Operating profit totalled EUR 9.6 mn , down from EUR 42.0 mn the year before .","down, from, ,, the, r",Operating profit totalled EUR 96 mn down from EUR 420 mn the year before,"down, from, the, year, eu",0.6,"Operating profit totalled EUR 9. 6 mn, down EUR 42. 0 mn year before.","down, profit, total, before, year",0.2
29,neutral,"During the rally , which was authorized by the city administration , a consulate official came out to the workers , spoke to them and took a letter from them .","., city, authorized, workers, spoke",During the rally which was authorized by the city administration a consulate official came out to the workers spoke to them and took a letter from them,"authorized, city, from, workers, a",0.6,"During rally, which authorized city administration, consulate official came out workers, spoke them took letter them.","them, ., city, authorized, came",0.6
30,neutral,"Stockholm-based Nordea Bank ( STO : NDA ) said yesterday it had hired Casper von Koskull to lead its corporate merchant banking and capital markets unit , effective 1 September .","hired, yesterday, effective, ,, its",Stockholmbased Nordea Bank STO NDA said yesterday it had hired Casper von Koskull to lead its corporate merchant banking and capital markets unit effective 1 September,"hired, said, it, casper, had",0.2,"Stockholm - based Nordea Bank ( STO: NDA ) said yesterday hired Casper von Koskull lead corporate merchant banking capital markets unit, effective 1 September.","hired, said, yesterday, ), .",0.4
31,neutral,"The contract value amounts to about EUR11m , the company added .","about, ., contract, company, ,",The contract value amounts to about EUR11m the company added,"the, to, about, company, contract",0.6,"contract value amounts about EUR11m, company added.","about, ., contract, amounts, value",0.6
32,positive,"Operating profit was EUR 24.5 mn , up from EUR 23.0 mn .","from, up, was, ., 24",Operating profit was EUR 245 mn up from EUR 230 mn,"from, up, was, eu, r",0.6,"Operating profit EUR 24. 5 mn, up EUR 23. 0 mn.","up, ,, operating, mn, mn",0.2
33,neutral,The energy shot is packed in a 100-millilitre bag with a screw cap .,"with, is, in, energy, mill",The energy shot is packed in a 100millilitre bag with a screw cap,"is, cap, screw, a, mill",0.4,energy shot packed 100 - millilitre bag screw cap.,"., cap, screw, mill, bag",0.2
34,negative,Finnish technology company Raute Corporation ( OMX Helsinki : RUTAV ) issued on Tuesday ( 23 September ) a profit warning for the financial year 2008 .,"profit, a, warning, ., company",Finnish technology company Raute Corporation OMX Helsinki RUTAV issued on Tuesday 23 September a profit warning for the financial year 2008,"profit, warning, for, company, 2008",0.6,Finnish technology company Raute Corporation ( OMX Helsinki: RUTAV ) issued Tuesday ( 23 September ) profit warning financial year 2008.,"profit, issued, company, ), tuesday",0.4
35,neutral,"industry in Asia +ó Pakistan , Malaysia , Taiwan and Philippines Today , Global Research & Data Services is going to publish several market analyses about the cement markets in Asia .","going, about, market, analyses, research",industry in Asia ó Pakistan Malaysia Taiwan and Philippines Today Global Research Data Services is going to publish several market analyses about the cement markets in Asia,"is, about, services, several, today",0.2,"industry Asia + ó Pakistan, Malaysia, Taiwan Philippines Today, Global Research & Data Services going publish several market analyses about cement markets Asia.","publish, analyses, about, data, philippines",0.4
36,neutral,The transaction is expected to be completed next spring .,"is, ., spring, to, expected",The transaction is expected to be completed next spring,"is, spring, the, be, completed",0.4,transaction expected completed next spring.,"spring, next, completed, expected, .",0.6
37,neutral,The plant is expected to enter commercial operation by mid-2009 .,"is, ., plant, 2009, to",The plant is expected to enter commercial operation by mid2009,"is, plant, to, by, 200",0.6,plant expected enter commercial operation mid - 2009.,"2009, mid, -, expected, enter",0.2
38,neutral,"YIT CORPORATION SEPT. 24 , 2007 at 13:30 CORPORATE RELEASE STOCK EXCHANGE RELEASE YIT 'S CAPITAL MARKETS DAY IN LONDON , SEPT. 26 , 2007 On Wednesday , September 26 , 2007 , YIT will hold a Capital Markets Day for investors and analysts in London .","will, and, ., stock, for",YIT CORPORATION SEPT 24 2007 at 1330 CORPORATE RELEASE STOCK EXCHANGE RELEASE YIT S CAPITAL MARKETS DAY IN LONDON SEPT 26 2007 On Wednesday September 26 2007 YIT will hold a Capital Markets Day for investors and analysts in London,"will, t, and, on, for",0.6,"YIT CORPORATION SEPT. 24, 2007 13: 30 CORPORATE RELEASE STOCK EXCHANGE RELEASE YIT ' S CAPITAL MARKETS DAY LONDON, SEPT. 26, 2007 Wednesday, September 26, 2007, YIT hold Capital Markets Day investors analysts London.","., yi, stock, exchange, hold",0.4
39,negative,"Finnish Scanfil , a contract manufacturer and systems supplier for communication and industrial electronics reports net sales of EUR 108.7 mn in the first half of 2008 , down from EUR 111.1 mn a year earlier .","down, eu, sales, 1, .",Finnish Scanfil a contract manufacturer and systems supplier for communication and industrial electronics reports net sales of EUR 1087 mn in the first half of 2008 down from EUR 1111 mn a year earlier,"down, from, 2008, half, in",0.2,"Finnish Scanfil, contract manufacturer systems supplier communication industrial electronics reports net sales EUR 108. 7 mn first half 2008, down EUR 111. 1 mn year earlier.","down, ,, half, reports, r",0.2
40,neutral,"Biohit Oyj develops , manufactures and markets liquid handling products and diagnostic test systems for use in research , healthcare and industrial laboratories .","., liquid, and, use, markets",Biohit Oyj develops manufactures and markets liquid handling products and diagnostic test systems for use in research healthcare and industrial laboratories,"use, o, in, j, and",0.4,"Biohit Oyj develops, manufactures markets liquid handling products diagnostic test systems use research, healthcare industrial laboratories.","healthcare, y, research, manufactures, j",0.0
41,neutral,They will be sunk to a depth of some 360-380 metres and fixed to the bottom mud by vacuum .,"be, to, and, to, .",They will be sunk to a depth of some 360380 metres and fixed to the bottom mud by vacuum,"be, and, to, to, bottom",0.6,They sunk depth some 360 - 380 metres fixed bottom mud vacuum.,"sunk, some, bottom, depth, mud",0.0
42,neutral,"The cost of the deal could range from 70 million to 90 million euros depending on the financial results of the two companies in 2008 , the statement says .","range, from, ., million, says",The cost of the deal could range from 70 million to 90 million euros depending on the financial results of the two companies in 2008 the statement says,"range, from, could, says, million",0.8,"cost deal range 70 million 90 million euros depending financial results two companies 2008, statement says.","depending, ., range, two, deal",0.4
43,neutral,IonPhasE 's second major owner is venture capital firm Aura Capital .,"is, ., s, se, major",IonPhasE s second major owner is venture capital firm Aura Capital,"is, second, capital, firm, se",0.4,IonPhasE ' s second major owner venture capital firm Aura Capital.,"s, ., venture, firm, '",0.4
44,neutral,"rosendal at outotec.com Eila Paatela , Vice President - Corporate Communications tel. +358 20 529 2004 , +358 400 817198 e-mail eila .","tel, c, communications, ., .",rosendal at outoteccom Eila Paatela Vice President Corporate Communications tel 358 20 529 2004 358 400 817198 email eila,"m, rosen, vice, at, president",0.0,"rosendal outotec. com Eila Paatela, Vice President - Corporate Communications tel. + 358 20 529 2004, + 358 400 817198 e - mail eila.","tel, communications, c, vice, .",0.8
45,negative,"Raute reported a loss per share of EUR0 .86 for the first half of 2009 , against EPS of EUR0 .74 in the corresponding period of 2008 .","loss, per, reported, against, half",Raute reported a loss per share of EUR0 86 for the first half of 2009 against EPS of EUR0 74 in the corresponding period of 2008,"loss, per, reported, in, for",0.6,"Raute reported loss per share EUR0. 86 first half 2009, against EPS EUR0. 74 corresponding period 2008.","loss, reported, per, against, ,",0.8
46,positive,"OUTOTEC OYJ PRESS RELEASE , FEBRUARY 19 , 2008 AT 11.00 AM Outotec has won two large minerals processing technology orders from Mirabela Mineracao do Brasil Ltda , Brazil and from Cumerio Med JSCo , Bulgaria .","won, has, technology, from, from",OUTOTEC OYJ PRESS RELEASE FEBRUARY 19 2008 AT 1100 AM Outotec has won two large minerals processing technology orders from Mirabela Mineracao do Brasil Ltda Brazil and from Cumerio Med JSCo Bulgaria,"won, has, technology, orders, at",0.6,"OUTOTEC OYJ PRESS RELEASE, FEBRUARY 19, 2008 11. 00 AM Outotec won two large minerals processing technology orders Mirabela Mineracao do Brasil Ltda, Brazil Cumerio Med JSCo, Bulgaria.","won, orders, two, 00, technology",0.4
47,neutral,The value of the order is USD 2.3 mn .,"is, the, ., of, value",The value of the order is USD 23 mn,"is, of, the, mn, value",0.8,value order USD 2. 3 mn.,"order, value, usd, ., .",0.4
48,neutral,"For 2009 , net profit was EUR3m and the company paid a dividend of EUR1 .30 apiece .","., was, the, and, divide",For 2009 net profit was EUR3m and the company paid a dividend of EUR1 30 apiece,"was, the, paid, and, divide",0.8,"2009, net profit EUR3m company paid dividend EUR1. 30 apiece.","divide, profit, ece, paid, .",0.4
49,neutral,The site will cover over six hectares .,"over, hectares, ., the, six",The site will cover over six hectares,"the, over, six, will, hectares",0.8,site cover over six hectares.,"site, six, over, ., hectares",0.8
50,neutral,The forecast for 2012 is 3.3 % .,"is, forecast, 2012, 3, 3",The forecast for 2012 is 33,"is, forecast, 33, 2012, for",0.6,forecast 2012 3. 3 %.,"3, 3, 2012, %, .",0.4
51,neutral,"The order values at EUR 6.9 mn , and it consists of design services and hardware and software licences .","consists, and, and, of, at",The order values at EUR 69 mn and it consists of design services and hardware and software licences,"and, consists, and, of, it",0.6,"order values EUR 6. 9 mn, consists design services hardware software licences.","consists, ., values, ., services",0.2
52,positive,"Ragutis , which is based in Lithuania 's second-largest city Kaunas , boosted its sales last year 22.3 per cent to 36.4 million liters .","boosted, ,, its, year, to",Ragutis which is based in Lithuania s secondlargest city Kaunas boosted its sales last year 223 per cent to 364 million liters,"boosted, its, last, to, which",0.6,"Ragutis, which based Lithuania ' s second - largest city Kaunas, boosted sales last year 22. 3 per cent 36. 4 million liters.","boosted, ,, last, which, .",0.4
53,neutral,Tiimari operates 194 stores in six countries -- including its core Finnish market -- and generated a turnover of 76.5 mln eur in 2005 .,"generated, and, a, turnover, .",Tiimari operates 194 stores in six countries including its core Finnish market and generated a turnover of 765 mln eur in 2005,"generated, and, of, stores, a",0.6,Tiimari operates 194 stores six countries - - including core Finnish market - - generated turnover 76. 5 mln eur 2005.,"stores, operates, generated, ., countries",0.4
54,positive,"( ADP News ) - Dec 11 , 2008 - Finnish construction and engineering company Outotec Oyj ( OMX : OTE1V ) said today it won a EUR 28 million ( USD 36.8 m ) order to expand the phosphate concentrator in Siilinjarvi of Norwegian minera","won, expand, order, rator, in",ADP News Dec 11 2008 Finnish construction and engineering company Outotec Oyj OMX OTE1V said today it won a EUR 28 million USD 368 m order to expand the phosphate concentrator in Siilinjarvi of Norwegian minera,"won, expand, order, million, a",0.6,"( ADP News ) - Dec 11, 2008 - Finnish construction engineering company Outotec Oyj ( OMX: OTE1V ) said today won EUR 28 million ( USD 36. 8 m ) order expand phosphate concentrator Siilinjarvi Norwegian minera","won, today, eu, r, expand",0.4
55,neutral,"Jeder Beta-Tester erh+ñlt kostenlos sechs Monate lang Updates und hat laut eigener Aussage die M+Âglichkeit , die finale Version zu beeinflussen .","., ,, beta, sec, bee",Jeder BetaTester erhñlt kostenlos sechs Monate lang Updates und hat laut eigener Aussage die MÂglichkeit die finale Version zu beeinflussen,"beta, uss, test, hat, in",0.2,"Jeder Beta - Tester erh + ñlt kostenlos sechs Monate lang Updates und hat laut eigener Aussage die M + Âglichkeit, die finale Version zu beeinflussen.","., ,, beta, sec, bee",1.0
56,positive,This will bring cost savings of about EUR 3mn a year .,"savings, year, this, 3, bring",This will bring cost savings of about EUR 3mn a year,"savings, cost, 3, year, this",0.8,bring cost savings about EUR 3mn year.,"savings, cost, bring, about, .",0.4
57,negative,"- Demand for fireplace products was lower than expected , especially in Germany .","lower, demand, was, than, especially",Demand for fireplace products was lower than expected especially in Germany,"lower, demand, germany, expected, products",0.4,"- Demand fireplace products lower than expected, especially Germany.","than, lower, expected, demand, ,",0.6
58,positive,"Finland-based Elcoteq SE , a privately held provider of electronics manufacturing services to communications companies , said Thursday it signed a long-term manufacturing supply deal with communications equipment company Andrew Corp. .","signed, deal, with, said, .",Finlandbased Elcoteq SE a privately held provider of electronics manufacturing services to communications companies said Thursday it signed a longterm manufacturing supply deal with communications equipment company Andrew Corp,"signed, deal, said, with, thursday",0.8,"Finland - based Elcoteq SE, privately held provider electronics manufacturing services communications companies, said Thursday signed long - term manufacturing supply deal communications equipment company Andrew Corp..","deal, signed, ., long, -",0.6
59,positive,"Operating profit of Kauppalehti group rose to EUR 1.5 mn from EUR 1.3 mn , and that of Marketplaces to EUR 1.3 mn from EUR 1.0 mn in the third quarter of 2006 .","rose, to, from, from, .",Operating profit of Kauppalehti group rose to EUR 15 mn from EUR 13 mn and that of Marketplaces to EUR 13 mn from EUR 10 mn in the third quarter of 2006,"rose, from, to, from, r",0.6,"Operating profit Kauppalehti group rose EUR 1. 5 mn EUR 1. 3 mn, Marketplaces EUR 1. 3 mn EUR 1. 0 mn third quarter 2006.","rose, mn, mn, r, .",0.4
60,positive,Cargotec Germany GmbH has been awarded a contract by Stadtverwaltung Mainz for chassis bodies under Open procedure .,"awarded, has, for, been, a",Cargotec Germany GmbH has been awarded a contract by Stadtverwaltung Mainz for chassis bodies under Open procedure,"awarded, has, been, for, a",1.0,Cargotec Germany GmbH awarded contract Stadtverwaltung Mainz chassis bodies under Open procedure.,"awarded, gmbh, contract, mainz, chassis",0.2
61,neutral,"The company operates its business through two reportable segments , including Banking and Investment Services , and Non-Life Insurance .","and, insurance, and, two, services",The company operates its business through two reportable segments including Banking and Investment Services and NonLife Insurance,"and, and, its, the, operates",0.2,"company operates business through two reportable segments, including Banking Investment Services, Non - Life Insurance.","insurance, ,, non, ., able",0.2
62,neutral,Atria said its offer would give the Swedish company continued ownership and control of its slaughtering and cutting operations .,"continued, give, ownership, control, its",Atria said its offer would give the Swedish company continued ownership and control of its slaughtering and cutting operations,"continued, give, ownership, operations, control",0.8,Atria said offer give Swedish company continued ownership control slaughtering cutting operations.,"said, swedish, ing, at, .",0.0
63,neutral,"The Board established a Remuneration Committee with following members : - Sari Baldauf Chairman - Tapio Hintikka - Heikki Westerlund In addition , the Board decided to appoint a Nomination Committee at a later stage .","to, the, members, addition, established",The Board established a Remuneration Committee with following members Sari Baldauf Chairman Tapio Hintikka Heikki Westerlund In addition the Board decided to appoint a Nomination Committee at a later stage,"stage, to, committee, appoint, a",0.2,"Board established Remuneration Committee following members: - Sari Baldauf Chairman - Tapio Hintikka - Heikki Westerlund addition, Board decided appoint Nomination Committee later stage.","., -, stage, established, :",0.2
64,neutral,"A coker crane will be supplied to Tesoro Corporation 's Golden Eagle Refinery in Martinez , California , while a similar crane will be delivered to BP 's Castell refinery in Spain .","be, be, to, o, in",A coker crane will be supplied to Tesoro Corporation s Golden Eagle Refinery in Martinez California while a similar crane will be delivered to BP s Castell refinery in Spain,"be, be, in, eagle, delivered",0.4,"coker crane supplied Tesoro Corporation ' s Golden Eagle Refinery Martinez, California, similar crane delivered BP ' s Castell refinery Spain.","similar, ,, crane, crane, corporation",0.0
65,neutral,"LONDON AFX - UK and European brokers ' recommendations issued today , as collated by AFX News from a range of market sources .","news, range, of, and, lated",LONDON AFX UK and European brokers recommendations issued today as collated by AFX News from a range of market sources,"lated, market, s, by, x",0.2,"LONDON AFX - UK European brokers ' recommendations issued today, collated AFX News range market sources.","lated, ., range, today, s",0.4
66,neutral,The presentation material can be viewed on the company 's website in English after the conference .,"be, ., can, material, after",The presentation material can be viewed on the company s website in English after the conference,"after, material, s, be, presentation",0.6,presentation material viewed company ' s website English after conference.,"., company, presentation, website, s",0.2
67,neutral,"Foodservice and consumer goods markets are served by approximately 13,000 people in 54 manufacturing units and several sales offices in 33 countries .","are, and, and, ., approximately",Foodservice and consumer goods markets are served by approximately 13000 people in 54 manufacturing units and several sales offices in 33 countries,"are, and, in, by, and",0.4,"Foodservice consumer goods markets served approximately 13, 000 people 54 manufacturing units several sales offices 33 countries.","e, units, approximately, manufacturing, er",0.2
68,positive,"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V said Wednesday its net profit rocketed to EUR4 .8 m in 2010 from EUR416 ,000 in 2009 and it lifted its dividend proposal .","from, lifted, in, profit, ed",4 February 2011 Finnish broadband data communication systems provider Teleste Oyj HEL TLT1V said Wednesday its net profit rocketed to EUR4 8 m in 2010 from EUR416 000 in 2009 and it lifted its dividend proposal,"from, lifted, profit, in, to",0.8,"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL: TLT1V said Wednesday net profit rocketed EUR4. 8 m 2010 EUR416, 000 2009 lifted dividend proposal.","profit, rocket, ed, lifted, net",0.6
69,negative,Ruukki Group calculates that it has lost EUR 4mn in the failed project .,"lost, has, 4, ., ki",Ruukki Group calculates that it has lost EUR 4mn in the failed project,"lost, has, 4, in, that",0.6,Ruukki Group calculates lost EUR 4mn failed project.,"lost, calculate, failed, ., project",0.4
