idx,text,orig_label,orig_label_id,orig_conf_max,p_orig_class_before,top_ig_tokens,masked_text,masked_label,masked_conf_max,p_orig_class_after,fidelity_drop,fidelity_drop_maxconf
10,The acquisition is expected to take place by the end of August 2007 .,neutral,1,0.9991484880447388,0.9991484880447388,"is, 2007, take, august, to",The acquisition expected place by the end of.,neutral,0.999218225479126,0.999218225479126,-6.973743438720703e-05,-6.973743438720703e-05
11,"According to HK Ruokatalo , almost all the meat used by the company comes from Finland .",neutral,1,0.9989891648292542,0.9989891648292542,"., used, meat, the, tal","According to HK Ruokatalo, almost all by company comes from Finland",neutral,0.9989621639251709,0.9989621639251709,2.7000904083251953e-05,2.7000904083251953e-05
12,"Prior to the transaction , whose financial terms have not been disclosed , Alma Media owned 40 % of Kotikokki net .",neutral,1,0.9991833567619324,0.9991833567619324,"media, not, disclosed, of, the","Prior to transaction, whose financial terms have been, Alma owned 40 % Kotikokki net.",neutral,0.9992145299911499,0.9992145299911499,-3.11732292175293e-05,-3.11732292175293e-05
13,"The objective is that trading in the shares will commence on May 2 , 2007 .",neutral,1,0.9991886019706726,0.9991886019706726,"is, that, 2, ,, may",The objective trading in the shares will commence on 2007.,neutral,0.9992276430130005,0.9992276430130005,-3.904104232788086e-05,-3.904104232788086e-05
14,"Helsinki on October 22 , 2008 SSH COMMUNICATIONS SECURITY CORP Board of Directors For further information , please contact : Tomi Laamanen , Chairman , tel. +358 0 400 609 544 Distribution : NASDAQ OMX Helsinki Ltd. .",neutral,1,0.9992000460624695,0.9992000460624695,"tel, information, of, for, x","Helsinki on October 22, 2008 SSH COMMUNICATIONS SECURITY CORP Board Directors further, please contact: Tomi Laamanen, Chairman,. +358 0 400 609 544 Distribution: NASDAQ OMX Helsinki Ltd..",neutral,0.9991739392280579,0.9991739392280579,2.6106834411621094e-05,2.6106834411621094e-05
15,The company also said that in Poland a profitability program has been launched at the Oborniki steel frame and sandwich panel plant .,positive,2,0.9984782338142395,0.9984782338142395,"ability, profit, poland, program, a",The company also said that in profitability has been launched at the Oborniki steel frame and sandwich panel plant.,positive,0.9980868101119995,0.9980868101119995,0.00039142370223999023,0.00039142370223999023
16,"According to CapMan Plc 's Corporate Governance , the majority of the committees ' members shall be independent of the Company .",neutral,1,0.9991303086280823,0.9991303086280823,"be, governance, shall, independent, '","According to CapMan Plc s Corporate, the majority of the committees members of the Company.",neutral,0.9992278814315796,0.9992278814315796,-9.757280349731445e-05,-9.757280349731445e-05
17,Increase in the number of shares is based on the option rights which were granted to the management of the company under the stock option plan 2006 .,neutral,1,0.9984095692634583,0.9984095692634583,"increase, ., 2006, is, were",in the number of shares based on the option rights which granted to the management of the company under the stock option plan,neutral,0.999151349067688,0.999151349067688,-0.0007417798042297363,-0.0007417798042297363
18,"Neste Oil s refineries have a combined crude oil refining capacity of approximately 260,000 barrels a day .",neutral,1,0.999182403087616,0.999182403087616,"of, have, 260, iner, oil","Neste s refineries a combined crude refining capacity approximately,000 barrels a day.",neutral,0.9991617202758789,0.9991617202758789,2.0682811737060547e-05,2.0682811737060547e-05
19,The financial statements release will be available after publishing on the Company 's internet pages at www.cargotec.com .,neutral,1,0.9992215633392334,0.9992215633392334,"., be, the, cargo, available",financial statements release will after publishing on Company 's internet pages at wwwcargoteccom,neutral,0.9991938471794128,0.9991938471794128,2.771615982055664e-05,2.771615982055664e-05
20,Finnish handling systems company Cargotec Oyj ( HEL : CGCBV ) said today that it won a EUR 13 million ( USD 16.6 m ) contract to deliver MacGregor hatch covers for ships ordered by Norwegian shipowner Grieg Shipping .,positive,2,0.9989222288131714,0.9989222288131714,"won, ., it, for, today",Finnish handling systems company Cargotec Oyj ( HEL: CGCBV ) said that a EUR 13 million ( USD 166 m ) contract to deliver MacGregor hatch covers ships ordered by Norwegian shipowner Grieg Shipping,neutral,0.9884269833564758,0.010357188060879707,0.9885650407522917,0.010495245456695557
21,And that 's exactly what happened on a recent weekday when an East Haven baker was brought in to remind residents about the Easter tradition of making wheat and rice pies .,neutral,1,0.9986116886138916,0.9986116886138916,"what, that, east, s, .",And ' exactly happened on a recent weekday when an Haven baker was brought in to remind residents about the Easter tradition of making wheat and rice pies,neutral,0.9988192915916443,0.9988192915916443,-0.00020760297775268555,-0.00020760297775268555
22,"Operating profit totaled EUR 6.7 mn , down from EUR 7.2 mn in the corresponding period in 2005 .",negative,0,0.9986518025398254,0.9986518025398254,"down, 7, in, ,, the",Operating profit totaled EUR 6. mn from EUR.2 mn corresponding period 2005.,positive,0.9982481002807617,0.0009999111061915755,0.9976518914336339,0.0004037022590637207
23,"( ADP News ) - Feb 6 , 2009 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR 19.2 million ( USD 24.6 m ) for 2008 from EUR 17.5 million for 2007 .",positive,2,0.9990106821060181,0.9990106821060181,"from, rose, to, r, million","( ADP News ) - Feb 6, 2009 - Finnish fishing tackle company Rapala VMC Corp ( HEL: RAP1V ) said today its net profit EUR 19.2 ( USD 24.6 m ) for 2008 EUR 17.5 for 2007.",neutral,0.9986805319786072,0.000708584557287395,0.9983020975487307,0.00033015012741088867
24,The enterprise value of Maritim Food AS has been determined as approximately EUR15m .,neutral,1,0.9991955161094666,0.9991955161094666,"., determined, value, r, as",The enterprise of Maritim Food has been approximately EUR15m,neutral,0.9991883635520935,0.9991883635520935,7.152557373046875e-06,7.152557373046875e-06
25,"3 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V said yesterday its net profit rocketed to EUR4 .8 m in 2010 from EUR416 ,000 in 2009 and it lifted its dividend proposal .",positive,2,0.998975396156311,0.998975396156311,"from, lifted, in, profit, ed","3 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL: TLT1V said yesterday its net rocketed to EUR4.8 m 2010 EUR416,000 2009 and it its dividend proposal.",positive,0.9984331727027893,0.9984331727027893,0.0005422234535217285,0.0005422234535217285
26,"The contractor of the shopping center , China State Construction Engineering Corporation , has previously built e.g. airports , hotels and factories for large international customers in different parts of the world .",neutral,1,0.9991472959518433,0.9991472959518433,"previously, ., has, different, ,",The contractor of the shopping center China State Construction Engineering Corporation built eg airports hotels and factories for large international customers in parts of the world,neutral,0.9991294741630554,0.9991294741630554,1.7821788787841797e-05,1.7821788787841797e-05
27,EPS grew to 0.04 eur from 0.02 eur .,positive,2,0.9990177154541016,0.9990177154541016,"grew, from, to, eps, 0",.04 eur.02 eur.,neutral,0.9983394145965576,0.0006645508110523224,0.9983531646430492,0.0006783008575439453
28,"Operating profit totalled EUR 9.6 mn , down from EUR 42.0 mn the year before .",negative,0,0.998643696308136,0.998643696308136,"down, from, ,, the, r",Operating profit totalled EUR 9.6 mn EUR 42.0 mn year before.,neutral,0.9857170581817627,0.00824639480561018,0.9903973015025258,0.012926638126373291
29,"During the rally , which was authorized by the city administration , a consulate official came out to the workers , spoke to them and took a letter from them .",neutral,1,0.998793363571167,0.998793363571167,"., city, authorized, workers, spoke","During the rally, which was by the administration, a consulate official came out to the, to them and took a letter from them",neutral,0.9989726543426514,0.9989726543426514,-0.000179290771484375,-0.000179290771484375
30,"Stockholm-based Nordea Bank ( STO : NDA ) said yesterday it had hired Casper von Koskull to lead its corporate merchant banking and capital markets unit , effective 1 September .",neutral,1,0.9981256127357483,0.9981256127357483,"hired, yesterday, effective, ,, its",Stockholm-based Nordea Bank ( STO: NDA ) said it had Casper von Koskull to lead corporate merchant banking and capital markets unit 1 September.,neutral,0.9989334940910339,0.9989334940910339,-0.0008078813552856445,-0.0008078813552856445
31,"The contract value amounts to about EUR11m , the company added .",neutral,1,0.999021053314209,0.999021053314209,"about, ., contract, company, ,",The value amounts to EUR11m the added,neutral,0.9991117119789124,0.9991117119789124,-9.065866470336914e-05,-9.065866470336914e-05
32,"Operating profit was EUR 24.5 mn , up from EUR 23.0 mn .",positive,2,0.9990274906158447,0.9990274906158447,"from, up, was, ., 24","Operating profit EUR 5 mn, EUR 230 mn",neutral,0.988275408744812,0.0009531531832180917,0.9980743374326266,0.010752081871032715
33,The energy shot is packed in a 100-millilitre bag with a screw cap .,neutral,1,0.9991806149482727,0.9991806149482727,"with, is, in, energy, mill",The shot packed a 100-millilitre bag a screw cap.,neutral,0.9990932941436768,0.9990932941436768,8.732080459594727e-05,8.732080459594727e-05
34,Finnish technology company Raute Corporation ( OMX Helsinki : RUTAV ) issued on Tuesday ( 23 September ) a profit warning for the financial year 2008 .,negative,0,0.9983798265457153,0.9983798265457153,"profit, a, warning, ., company",Finnish technology Raute Corporation ( OMX Helsinki: RUTAV ) issued on Tuesday ( 23 September ) for the financial year 2008,neutral,0.9991243481636047,0.00041337322909384966,0.9979664533166215,-0.0007445216178894043
35,"industry in Asia +ó Pakistan , Malaysia , Taiwan and Philippines Today , Global Research & Data Services is going to publish several market analyses about the cement markets in Asia .",neutral,1,0.9991576671600342,0.9991576671600342,"going, about, market, analyses, research","industry in Asia +ó Pakistan, Malaysia, Taiwan and Philippines Today, Global & Data Services is to publish several the cement markets in Asia.",neutral,0.9990639090538025,0.9990639090538025,9.375810623168945e-05,9.375810623168945e-05
36,The transaction is expected to be completed next spring .,neutral,1,0.9991486072540283,0.9991486072540283,"is, ., spring, to, expected",The transaction be completed next,neutral,0.999164342880249,0.999164342880249,-1.5735626220703125e-05,-1.5735626220703125e-05
37,The plant is expected to enter commercial operation by mid-2009 .,neutral,1,0.9990867376327515,0.9990867376327515,"is, ., plant, 2009, to",The expected enter commercial operation by mid-,neutral,0.9990509152412415,0.9990509152412415,3.5822391510009766e-05,3.5822391510009766e-05
38,"YIT CORPORATION SEPT. 24 , 2007 at 13:30 CORPORATE RELEASE STOCK EXCHANGE RELEASE YIT 'S CAPITAL MARKETS DAY IN LONDON , SEPT. 26 , 2007 On Wednesday , September 26 , 2007 , YIT will hold a Capital Markets Day for investors and analysts in London .",neutral,1,0.9991993308067322,0.9991993308067322,"will, and, ., stock, for","YIT CORPORATION SEPT 24, 2007 at 13:30 CORPORATE RELEASE EXCHANGE RELEASE YIT 'S CAPITAL MARKETS DAY IN LONDON, SEPT 26, 2007 On Wednesday, September 26, 2007, YIT hold a Capital Markets Day investors analysts in London",neutral,0.9991421699523926,0.9991421699523926,5.716085433959961e-05,5.716085433959961e-05
39,"Finnish Scanfil , a contract manufacturer and systems supplier for communication and industrial electronics reports net sales of EUR 108.7 mn in the first half of 2008 , down from EUR 111.1 mn a year earlier .",negative,0,0.9985256791114807,0.9985256791114807,"down, eu, sales, 1, .","Finnish Scanfil, a contract manufacturer and systems supplier for communication and industrial electronics reports net of EUR 1087 mn in the first half of 2008, from EUR 111 mn a year earlier",positive,0.78419429063797,0.21531738340854645,0.7832082957029343,0.21433138847351074
40,"Biohit Oyj develops , manufactures and markets liquid handling products and diagnostic test systems for use in research , healthcare and industrial laboratories .",neutral,1,0.9990296363830566,0.9990296363830566,"., liquid, and, use, markets","Biohit Oyj develops, manufactures handling products diagnostic test systems for in research, healthcare industrial laboratories",neutral,0.9991379976272583,0.9991379976272583,-0.00010836124420166016,-0.00010836124420166016
41,They will be sunk to a depth of some 360-380 metres and fixed to the bottom mud by vacuum .,neutral,1,0.9989711046218872,0.9989711046218872,"be, to, and, to, .",They will sunk a depth of some 360-380 metres fixed the bottom mud by vacuum,neutral,0.9989321827888489,0.9989321827888489,3.892183303833008e-05,3.892183303833008e-05
42,"The cost of the deal could range from 70 million to 90 million euros depending on the financial results of the two companies in 2008 , the statement says .",neutral,1,0.9990652203559875,0.9990652203559875,"range, from, ., million, says","The cost of the deal could 70 to 90 euros depending on the financial results of the two companies in 2008, the statement",neutral,0.9991117119789124,0.9991117119789124,-4.649162292480469e-05,-4.649162292480469e-05
43,IonPhasE 's second major owner is venture capital firm Aura Capital .,neutral,1,0.9992566704750061,0.9992566704750061,"is, ., s, se, major",IonPhasE ' second owner venture capital firm Aura Capital,neutral,0.9991393089294434,0.9991393089294434,0.00011736154556274414,0.00011736154556274414
44,"rosendal at outotec.com Eila Paatela , Vice President - Corporate Communications tel. +358 20 529 2004 , +358 400 817198 e-mail eila .",neutral,1,0.9990189075469971,0.9990189075469971,"tel, c, communications, ., .","rosendal at outoteccom Eila Paatela, Vice President - Corporate +358 20 529 2004, +358 400 817198 e-mail eila",neutral,0.9988666772842407,0.9988666772842407,0.00015223026275634766,0.00015223026275634766
45,"Raute reported a loss per share of EUR0 .86 for the first half of 2009 , against EPS of EUR0 .74 in the corresponding period of 2008 .",negative,0,0.9985945820808411,0.9985945820808411,"loss, per, reported, against, half","Raute a share of EUR0.86 for the first of 2009, EPS of EUR0.74 in the corresponding period of 2008.",neutral,0.9990505576133728,0.0003869528300128877,0.9982076292508282,-0.0004559755325317383
46,"OUTOTEC OYJ PRESS RELEASE , FEBRUARY 19 , 2008 AT 11.00 AM Outotec has won two large minerals processing technology orders from Mirabela Mineracao do Brasil Ltda , Brazil and from Cumerio Med JSCo , Bulgaria .",positive,2,0.9989705085754395,0.9989705085754395,"won, has, technology, from, from","OUTOTEC OYJ PRESS RELEASE, FEBRUARY 19, 2008 AT 11.00 AM Outotec two large minerals processing orders Mirabela Mineracao do Brasil Ltda, Brazil and Cumerio Med JSCo, Bulgaria.",neutral,0.9988614320755005,0.0004025062080472708,0.9985680023673922,0.00010907649993896484
47,The value of the order is USD 2.3 mn .,neutral,1,0.9991586208343506,0.9991586208343506,"is, the, ., of, value",order USD 23 mn,neutral,0.9986422657966614,0.9986422657966614,0.000516355037689209,0.000516355037689209
48,"For 2009 , net profit was EUR3m and the company paid a dividend of EUR1 .30 apiece .",neutral,1,0.9991331696510315,0.9991331696510315,"., was, the, and, divide","For 2009, net profit EUR3m company paid a dividend of EUR1 30 apiece",neutral,0.998974084854126,0.998974084854126,0.00015908479690551758,0.00015908479690551758
49,The site will cover over six hectares .,neutral,1,0.9991328120231628,0.9991328120231628,"over, hectares, ., the, six",site will cover,neutral,0.9986055493354797,0.9986055493354797,0.0005272626876831055,0.0005272626876831055
50,The forecast for 2012 is 3.3 % .,neutral,1,0.9983439445495605,0.9983439445495605,"is, forecast, 2012, 3, 3",The for. %.,neutral,0.9989450573921204,0.9989450573921204,-0.0006011128425598145,-0.0006011128425598145
51,"The order values at EUR 6.9 mn , and it consists of design services and hardware and software licences .",neutral,1,0.9992103576660156,0.9992103576660156,"consists, and, and, of, at","The order values EUR 6.9 mn, it design services hardware software licences.",neutral,0.9991937279701233,0.9991937279701233,1.6629695892333984e-05,1.6629695892333984e-05
52,"Ragutis , which is based in Lithuania 's second-largest city Kaunas , boosted its sales last year 22.3 per cent to 36.4 million liters .",positive,2,0.9990284442901611,0.9990284442901611,"boosted, ,, its, year, to",Ragutis which is based in Lithuania 's second-largest city Kaunas sales last 22.3 per cent 36.4 million liters.,neutral,0.9989588260650635,0.000347925815731287,0.9986805184744298,6.961822509765625e-05
53,Tiimari operates 194 stores in six countries -- including its core Finnish market -- and generated a turnover of 76.5 mln eur in 2005 .,neutral,1,0.9989235997200012,0.9989235997200012,"generated, and, a, turnover, .",Tiimari operates 194 stores in six countries -- including its core Finnish market -- of 765 mln eur in 2005,neutral,0.9989439845085144,0.9989439845085144,-2.0384788513183594e-05,-2.0384788513183594e-05
54,"( ADP News ) - Dec 11 , 2008 - Finnish construction and engineering company Outotec Oyj ( OMX : OTE1V ) said today it won a EUR 28 million ( USD 36.8 m ) order to expand the phosphate concentrator in Siilinjarvi of Norwegian minera",positive,2,0.998920202255249,0.998920202255249,"won, expand, order, rator, in","( ADP News ) - Dec 11, 2008 - Finnish construction and engineering company Outotec Oyj ( OMX: OTE1V ) said today it a EUR 28 million ( USD 36.8 m ) to the phosphate concentrator Siilinjarvi of Norwegian minera",neutral,0.9974049925804138,0.00205046683549881,0.9968697354197502,0.001515209674835205
55,"Jeder Beta-Tester erh+ñlt kostenlos sechs Monate lang Updates und hat laut eigener Aussage die M+Âglichkeit , die finale Version zu beeinflussen .",neutral,1,0.9981222748756409,0.9981222748756409,"., ,, beta, sec, bee",Jeder -Tester erh+ñlt kostenlos sechs Monate lang Updates und hat laut eigener Aussage die M+Âglichkeit die finale Version zu beeinflussen,neutral,0.9959736466407776,0.9959736466407776,0.0021486282348632812,0.0021486282348632812
56,This will bring cost savings of about EUR 3mn a year .,positive,2,0.9988406300544739,0.9988406300544739,"savings, year, this, 3, bring",will cost of about EUR 3mn a.,neutral,0.9990359544754028,0.0005135692772455513,0.9983270607772283,-0.00019532442092895508
57,"- Demand for fireplace products was lower than expected , especially in Germany .",negative,0,0.998432457447052,0.998432457447052,"lower, demand, was, than, especially","- for fireplace products expected, in Germany.",neutral,0.9988601207733154,0.00042050250340253115,0.9980119549436495,-0.00042766332626342773
58,"Finland-based Elcoteq SE , a privately held provider of electronics manufacturing services to communications companies , said Thursday it signed a long-term manufacturing supply deal with communications equipment company Andrew Corp. .",positive,2,0.99847012758255,0.99847012758255,"signed, deal, with, said, .","Finland-based Elcoteq SE, a privately held provider of electronics manufacturing services to communications companies, Thursday it a long-term manufacturing supply communications equipment company Andrew Corp",neutral,0.9991974234580994,0.0003983567585237324,0.9980717708240263,-0.0007272958755493164
59,"Operating profit of Kauppalehti group rose to EUR 1.5 mn from EUR 1.3 mn , and that of Marketplaces to EUR 1.3 mn from EUR 1.0 mn in the third quarter of 2006 .",positive,2,0.9990158081054688,0.9990158081054688,"rose, to, from, from, .","Operating profit of Kauppalehti group EUR 15 mn EUR 13 mn, and that of Marketplaces EUR 13 mn EUR 10 mn in the third quarter of 2006",neutral,0.9963961243629456,0.0006718304357491434,0.9983439776697196,0.0026196837425231934
60,Cargotec Germany GmbH has been awarded a contract by Stadtverwaltung Mainz for chassis bodies under Open procedure .,positive,2,0.9988341927528381,0.9988341927528381,"awarded, has, for, been, a",Cargotec Germany GmbH contract by Stadtverwaltung Mainz chassis bodies under Open procedure.,neutral,0.9989399313926697,0.0004562612739391625,0.998377931478899,-0.00010573863983154297
61,"The company operates its business through two reportable segments , including Banking and Investment Services , and Non-Life Insurance .",neutral,1,0.999076247215271,0.999076247215271,"and, insurance, and, two, services","The company operates its business through reportable segments, including Banking Investment, Non-Life.",neutral,0.9991851449012756,0.9991851449012756,-0.00010889768600463867,-0.00010889768600463867
62,Atria said its offer would give the Swedish company continued ownership and control of its slaughtering and cutting operations .,neutral,1,0.9862030744552612,0.9862030744552612,"continued, give, ownership, control, its",Atria said offer would the Swedish company and of slaughtering and cutting operations.,neutral,0.9992343187332153,0.9992343187332153,-0.013031244277954102,-0.013031244277954102
63,"The Board established a Remuneration Committee with following members : - Sari Baldauf Chairman - Tapio Hintikka - Heikki Westerlund In addition , the Board decided to appoint a Nomination Committee at a later stage .",neutral,1,0.9991254210472107,0.9991254210472107,"to, the, members, addition, established","Board a Remuneration Committee with following: - Sari Baldauf Chairman - Tapio Hintikka - Heikki Westerlund In, Board decided appoint a Nomination Committee at a later stage.",neutral,0.999170184135437,0.999170184135437,-4.476308822631836e-05,-4.476308822631836e-05
64,"A coker crane will be supplied to Tesoro Corporation 's Golden Eagle Refinery in Martinez , California , while a similar crane will be delivered to BP 's Castell refinery in Spain .",neutral,1,0.9991394281387329,0.9991394281387329,"be, be, to, o, in","A coker crane will supplied Tesoro Corporation 's Golden Eagle Refinery Martinez, California, while a similar crane will delivered BP 's Castell refinery Spain.",neutral,0.9991406202316284,0.9991406202316284,-1.1920928955078125e-06,-1.1920928955078125e-06
65,"LONDON AFX - UK and European brokers ' recommendations issued today , as collated by AFX News from a range of market sources .",neutral,1,0.9991812109947205,0.9991812109947205,"news, range, of, and, lated","LONDON AFX - UK European brokers ' recommendations issued today, as collated by AFX from a market sources.",neutral,0.9991949200630188,0.9991949200630188,-1.3709068298339844e-05,-1.3709068298339844e-05
66,The presentation material can be viewed on the company 's website in English after the conference .,neutral,1,0.9991909861564636,0.9991909861564636,"be, ., can, material, after",The presentation viewed on the company 's website in English the conference,neutral,0.999186098575592,0.999186098575592,4.887580871582031e-06,4.887580871582031e-06
67,"Foodservice and consumer goods markets are served by approximately 13,000 people in 54 manufacturing units and several sales offices in 33 countries .",neutral,1,0.9991030693054199,0.9991030693054199,"are, and, and, ., approximately","Foodservice consumer goods markets served by 13,000 people in 54 manufacturing units several sales offices in 33 countries",neutral,0.9988975524902344,0.9988975524902344,0.00020551681518554688,0.00020551681518554688
68,"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V said Wednesday its net profit rocketed to EUR4 .8 m in 2010 from EUR416 ,000 in 2009 and it lifted its dividend proposal .",positive,2,0.9989835619926453,0.9989835619926453,"from, lifted, in, profit, ed","4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL: TLT1V said Wednesday its net rocketed to EUR4.8 m 2010 EUR416,000 2009 and it its dividend proposal.",positive,0.9982491731643677,0.9982491731643677,0.0007343888282775879,0.0007343888282775879
69,Ruukki Group calculates that it has lost EUR 4mn in the failed project .,negative,0,0.998164713382721,0.998164713382721,"lost, has, 4, ., ki",Ruukki Group calculates that it EUR 4mn in the failed project,neutral,0.9988018274307251,0.0008016658830456436,0.9973630474996753,-0.0006371140480041504
70,"India 's trade with Russia currently stands at four billion dollars , growing 9.6 per cent in fiscal 2007 .",positive,2,0.9988915324211121,0.9988915324211121,"growing, currently, cent, ., ,",India 's trade with Russia stands at four billion dollars 96 per in fiscal 2007,neutral,0.9986975193023682,0.0006157169118523598,0.9982758155092597,0.00019401311874389648
71,The value of the contracts is about EUR 3.3 mn .,neutral,1,0.9991914629936218,0.9991914629936218,"is, ., value, about, of",The the contracts EUR 33 mn,neutral,0.99907386302948,0.99907386302948,0.0001175999641418457,0.0001175999641418457
72,"Both operating profit and net sales for the 12-month period increased , respectively from EUR21 .5 m and EUR196 .1 m , as compared to 2005 .",positive,2,0.9990378618240356,0.9990378618240356,"increased, from, compared, period, sales","Both operating profit and net for the 12-month, respectively EUR21.5 m and EUR196.1 m, as to 2005.",neutral,0.9974827170372009,0.0010919931810349226,0.9979458686430007,0.0015551447868347168
73,"( ADP News ) - Feb 11 , 2009 - Finnish wood products technology supplier Raute Oyj ( HEL : RUTAV ) said today its net profit decreased to EUR 4.7 million ( USD 6.1 m ) for 2008 from EUR 6.6 million for 2007 .",negative,0,0.9985328912734985,0.9985328912734985,"decreased, from, for, million, said","( ADP News ) - Feb 11, 2009 - Finnish wood products technology supplier Raute Oyj ( HEL: RUTAV ) today its net profit to EUR 4.7 ( USD 6.1 m ) 2008 EUR 6.6 2007.",positive,0.7341732978820801,0.03410205617547035,0.9644308350980282,0.26435959339141846
74,"Metsaliitto will sell 1.1 million B shares of Neomarkka , accounting for about 18.3 pct of Neomarkka 's equity and about 12.7 pct of the voting rights .",neutral,1,0.9991012811660767,0.9991012811660767,"and, for, accounting, equity, about","Metsaliitto will sell 1.1 million B shares of Neomarkka, 18.3 pct of Neomarkka 's 12.7 pct of the voting rights.",neutral,0.9991040825843811,0.9991040825843811,-2.8014183044433594e-06,-2.8014183044433594e-06
75,"In October , UPM reported a third-quarter net loss of euro86 million $ 110 million compared with a net profit of euro120 million in 2007 .",negative,0,0.9983929991722107,0.9983929991722107,"loss, reported, net, a, profit","In October, UPM third-quarter of euro86 million $ 110 million compared with of euro120 million in 2007.",positive,0.9945766925811768,0.005061622709035873,0.9933313764631748,0.0038163065910339355
76,"Cash flow from operations totalled EUR 2.71 mn , compared to a negative EUR 0.83 mn in the corresponding period in 2008 .",positive,2,0.9981274008750916,0.9981274008750916,"compared, to, ., total, ,",Cash flow from operations totalled EUR 271 mn a negative EUR 083 mn in the corresponding period in 2008,negative,0.9967799782752991,0.0007973345345817506,0.9973300663405098,0.0013474225997924805
