idx,orig_label,orig_conf,pert_label,pert_conf,label_flip,topk_overlap,xai_change,orig_top_tokens,pert_top_tokens
80,positive,0.9976971745491028,neutral,0.9979610443115234,1,0.6,0.4,"sufficient, enable, these, line, ensure","line, ensure, treasury, sufficient, company"
81,neutral,0.9989516735076904,neutral,0.9991826415061951,0,0.19999999999999996,0.8,"of, of, and, and, includes","includes, ., ,, ,, including"
82,negative,0.9985370635986328,negative,0.9983447790145874,0,0.4,0.6,"loss, profit, slipped, net, net","loss, eu, today, net, ."
83,positive,0.9990655779838562,positive,0.999047577381134,0,0.4,0.6,"from, to, rose, r, in","rose, profit, eu, ., r"
84,neutral,0.9990400671958923,neutral,0.9991360306739807,0,0.19999999999999996,0.8,"and, as, households, ,, catering","serves, households, information, chemical, industries"
85,neutral,0.9988981485366821,neutral,0.9987589120864868,0,0.6,0.4,"., weight, ', `, broker","`, ratings, weight, ', under"
86,neutral,0.9987356066703796,neutral,0.9990291595458984,0,0.4,0.6,"status, is, ., ., of","status, quoted, ku, one, ."
87,neutral,0.9990760087966919,neutral,0.9991418123245239,0,0.6,0.4,"is, annual, 10, ,, .","., ,, 10, some, 000"
88,neutral,0.9991269707679749,neutral,0.9991598129272461,0,0.0,1.0,"and, by, invention, relates, to",":, `, manufacture, according, `"
89,negative,0.998537540435791,negative,0.9977864027023315,0,0.4,0.6,"decrease, a, from, %, in","decrease, %, ,, ., 5"
90,positive,0.999054491519928,positive,0.9990614056587219,0,0.4,0.6,"rose, sales, %, to, net","rose, ., %, business, review"
91,neutral,0.999228835105896,neutral,0.9990986585617065,0,0.4,0.6,"organized, comprises, different, will, .","comprises, different, ,, ore, four"
92,neutral,0.9991938471794128,neutral,0.9990580677986145,0,0.0,1.0,"., ,, be, e, will","manufacture, war, undertaken, ps, factory"
93,neutral,0.9988527297973633,neutral,0.9507218599319458,0,0.4,0.6,"2009, ,, be, 2010, at","2009, sales, expects, net, 2010"
94,neutral,0.9984678626060486,neutral,0.9981114864349365,0,0.4,0.6,"repeating, opinion, however, n, the","airline, opinion, ., some, however"
95,neutral,0.9991752505302429,neutral,0.9988922476768494,0,0.0,1.0,"., from, been, ordered, the","approximately, india, ,, wt, 000"
96,neutral,0.9991822838783264,neutral,0.999016284942627,0,0.4,0.6,"has, ., approximately, in, polis","approximately, customer, ., j, 130"
97,neutral,0.9987390637397766,neutral,0.9988676309585571,0,0.6,0.4,"of, two, ., vi, '","s, vi, ol, two, '"
98,neutral,0.9990713596343994,neutral,0.9990635514259338,0,0.4,0.6,"o, now, and, the, which","now, which, represents, y, rights"
99,neutral,0.9991114735603333,neutral,0.9991458654403687,0,0.4,0.6,"consists, of, ,, in, and",",, consists, ,, ., construction"
100,positive,0.999066174030304,positive,0.9990513920783997,0,0.6,0.4,"rose, to, by, ., %","rose, profit, %, 26, ."
101,positive,0.5936223268508911,positive,0.8924989104270935,0,0.8,0.19999999999999996,"relatively, levels, remain, sales, good","remain, good, sales, relatively, expected"
102,negative,0.9982556700706482,negative,0.9983185529708862,0,0.8,0.19999999999999996,"loss, total, compared, operating, eu","loss, compared, total, operating, profit"
103,neutral,0.9981549382209778,neutral,0.9987678527832031,0,0.19999999999999996,0.8,"fun, ., would, fishing, players","fun, they, ,, five, game"
104,negative,0.9409728050231934,negative,0.8738471865653992,0,0.8,0.19999999999999996,"reduction, significant, %, moderate, a","reduction, estimated, %, significant, moderate"
105,neutral,0.999098539352417,neutral,0.9991139769554138,0,0.4,0.6,"., and, in, over, mainly","mainly, funds, over, investments, 22"
106,negative,0.9985930323600769,negative,0.9985806941986084,0,0.4,0.6,"decreased, decreased, by, sales, sales","decreased, decreased, international, sales, 2"
107,positive,0.9990411400794983,positive,0.9989558458328247,0,0.4,0.6,"rose, from, to, ., .","rose, ., sales, 68, r"
108,negative,0.9984130859375,negative,0.9985119700431824,0,0.4,0.6,"loss, total, company, eu, the","loss, total, compared, s, 0"
109,positive,0.9990195035934448,positive,0.9989357590675354,0,0.6,0.4,"up, from, to, ,, loss","up, loss, r, per, ,"
110,positive,0.9974188804626465,positive,0.9979933500289917,0,0.4,0.6,"higher, ., ,, to, net","higher, contributed, also, net, sales"
111,negative,0.9982012510299683,negative,0.9984191656112671,0,0.6,0.4,"negative, compared, eu, was, .","negative, activities, operating, compared, ."
112,neutral,0.9989681243896484,neutral,0.9991692304611206,0,0.19999999999999996,0.8,"2002, ,, is, ,, ,","set, ., up, ,, ,"
113,positive,0.9990416169166565,positive,0.9990341663360596,0,0.4,0.6,"rose, to, from, ., from","rose, ., eu, eu, mn"
114,neutral,0.9986937642097473,neutral,0.9991497993469238,0,0.0,1.0,"at, approved, the, the, mun",",, shall, directors, ., other"
115,positive,0.9937606453895569,positive,0.5728661417961121,0,0.4,0.6,"field, activity, higher, developments, partly","field, policy, developments, divide, ."
116,neutral,0.8106458783149719,neutral,0.9887309670448303,0,0.6,0.4,"increase, tama, following, this, m","increase, tama, following, shares, huh"
117,positive,0.9975802898406982,positive,0.9981065988540649,0,0.6,0.4,"better, has, true, seen, a","better, said, true, ., seen"
118,positive,0.9925220608711243,neutral,0.9980095028877258,1,0.6,0.4,"well, current, line, with, .","well, current, ., ferries, manages"
119,negative,0.9984093308448792,negative,0.998390793800354,0,0.6,0.4,"down, to, from, slightly, went","down, slightly, went, profit, half"
120,neutral,0.999159574508667,neutral,0.9992129802703857,0,0.19999999999999996,0.8,"be, ., company, will, ,","total, estimated, investment, company, necessary"
121,neutral,0.9991661310195923,neutral,0.999170184135437,0,0.0,1.0,"be, will, live, on, www","ce, ce, s, ., rner"
122,neutral,0.9984789490699768,neutral,0.9988239407539368,0,0.19999999999999996,0.8,"economic, tried, to, doing, rs","tried, how, see, mu, said"
123,positive,0.9990413784980774,positive,0.9990608096122742,0,0.4,0.6,"from, up, ., led, .","up, mn, year, ., -"
124,positive,0.9990326166152954,positive,0.9989950060844421,0,0.4,0.6,"increased, compared, period, ., by","increased, period, ,, respectively, sales"
125,neutral,0.999030351638794,neutral,0.998870313167572,0,0.19999999999999996,0.8,"is, ne, stock, bought, of","bought, located, ,, immediate, s"
126,neutral,0.9985848665237427,neutral,0.9988313317298889,0,0.6,0.4,"not, has, indicated, ', consolidation","not, interest, indicated, any, '"
127,neutral,0.9927119016647339,neutral,0.9927119016647339,0,1.0,0.0,"totaled, profit, after, r, 1","totaled, profit, after, r, 1"
128,neutral,0.9988476037979126,neutral,0.9987057447433472,0,0.6,0.4,"will, ,, succeed, ., decided","succeed, ,, ky, ., leave"
129,neutral,0.9989450573921204,neutral,0.9989140033721924,0,0.6,0.4,"m, 2007, of, 5, pl","m, 2007, ., 5, eu"
130,neutral,0.9985700845718384,neutral,0.9983177185058594,0,0.6,0.4,"expired, this, a, month, 2001","month, 2001, ., expired, agreement"
131,negative,0.9986246824264526,negative,0.9985231757164001,0,0.4,0.6,"fell, profit, to, 24, 15","fell, profit, ., ., r"
132,neutral,0.9987238049507141,neutral,0.9990437626838684,0,0.6,0.4,"matter, is, measures, further, considering","me, considering, matter, mari, further"
133,neutral,0.9985613226890564,neutral,0.998933732509613,0,0.8,0.19999999999999996,"all, depends, financing, ., on","all, financing, depends, ."
134,neutral,0.9991356730461121,neutral,0.999148964881897,0,0.19999999999999996,0.8,"of, stock, were, 1, stock","., scheme, 1, ,, issued"
135,neutral,0.9991165995597839,neutral,0.9991794228553772,0,0.6,0.4,"represent, share, %, 5, now","share, represent, city, capital, %"
136,neutral,0.9990573525428772,neutral,0.9991851449012756,0,0.19999999999999996,0.8,"part, and, of, russia, of","ize, ,, part, which, ,"
137,neutral,0.9990917444229126,neutral,0.9989537000656128,0,0.19999999999999996,0.8,"operates, ., and, and, district","operates, autonomous, power, company, regions"
138,neutral,0.9990899562835693,neutral,0.9990977048873901,0,0.6,0.4,"., -, and, consists, portfolio","consists, portfolio, ., s, equipment"
139,neutral,0.9991554021835327,neutral,0.9991804957389832,0,0.6,0.4,"and, laboratories, product, building, test","product, test, ., laboratories, house"
140,negative,0.9965903759002686,negative,0.9981051683425903,0,0.6,0.4,"loss, net, versus, net, swung","loss, versus, net, net, profit"
141,neutral,0.9989584684371948,neutral,0.99600750207901,0,0.19999999999999996,0.8,"gradually, be, closed, be, and","gradually, ru, unit, romania, smaller"
142,neutral,0.9906010627746582,neutral,0.9967243075370789,0,0.8,0.19999999999999996,"gradually, 2010, %, end, reach","gradually, o, %, reach, end"
143,positive,0.9988652467727661,positive,0.9987599849700928,0,0.6,0.4,"increase, positive, the, ., operating","increase, operating, positive, year, ,"
144,negative,0.9985716342926025,negative,0.9985136389732361,0,0.6,0.4,"decreased, from, %, profit, to","decreased, profit, %, 69, 2"
145,neutral,0.9991218447685242,neutral,0.999196469783783,0,0.0,1.0,"be, and, of, date, of","operational, details, there, initiatives, number"
146,positive,0.9990130662918091,positive,0.9990090131759644,0,0.4,0.6,"increase, considerably, current, ., reserves","increase, expected, considerably, tu, area"
147,neutral,0.9980105757713318,neutral,0.9987233281135559,0,0.4,0.6,"continued, the, a, antibody, human","program, development, human, ., continued"
148,neutral,0.9991757273674011,neutral,0.9991552829742432,0,0.6,0.4,"is, is, market, ted, total","is, ted, total, value, maximum"
149,neutral,0.9990045428276062,neutral,0.9988960027694702,0,0.0,1.0,"addition, of, be, will, dem",",, president, ,, s, responsibilities"
150,positive,0.9990377426147461,positive,0.9989965558052063,0,0.6,0.4,"increased, compared, from, sales, period","increased, period, compared, ., ,"
151,neutral,0.9990629553794861,neutral,0.9989306330680847,0,0.0,1.0,"were, was, ., and, /","taxes, 0, eu, ,, sales"
152,neutral,0.999043881893158,neutral,0.9991862177848816,0,0.4,0.6,"are, made, ., ', %","products, focus, made, s, %"
153,positive,0.9979605674743652,positive,0.9979654550552368,0,0.4,0.6,"compared, to, loss, of, total","compared, loss, ., r, mn"
154,neutral,0.9991936087608337,neutral,0.9991976618766785,0,0.4,0.6,"are, ,, in, biggest, and",",, ., capital, biggest, ne"
155,neutral,0.998908519744873,neutral,0.9990678429603577,0,0.4,0.6,"divide, ., be, will, a","divide, propose, nd, ,, ."
156,neutral,0.9989721775054932,neutral,0.99896240234375,0,0.4,0.6,"pre, and, net, profit, of","pre, 2005, net, company, eu"
157,positive,0.9990376234054565,positive,0.9989888072013855,0,0.4,0.6,"increased, from, period, compared, .","increased, period, ,, sales, net"
158,negative,0.9985989928245544,negative,0.9984219074249268,0,0.4,0.6,"down, from, ,, profit, the","down, profit, mn, total, mn"
159,positive,0.9988749623298645,positive,0.9841124415397644,0,0.4,0.6,"won, a, expansion, order, $","won, supply, 3, $, ."
160,positive,0.9990472197532654,neutral,0.9989136457443237,1,0.6,0.4,"from, increase, estimated, was, excluding","estimated, increase, -, excluding, items"
161,positive,0.999007523059845,positive,0.9988222718238831,0,0.4,0.6,"rose, to, from, uted, .","rose, eu, ., ., ."
162,neutral,0.9992002844810486,neutral,0.9991506338119507,0,0.4,0.6,"about, ., of, the, is","about, ., r, n, total"
163,neutral,0.9992026686668396,neutral,0.9988508224487305,0,0.19999999999999996,0.8,"be, o, and, his, will","also, his, ble, continued, ze"
164,neutral,0.9992151260375977,neutral,0.9991427659988403,0,0.4,0.6,"is, about, of, the, 25","about, orders, ., 25, r"
165,positive,0.9981297850608826,positive,0.9898202419281006,0,0.6,0.4,"good, was, 2005, ., demand","good, 2005, demand, `, equipment"
166,neutral,0.9987446069717407,neutral,0.998342752456665,0,0.6,0.4,"decision, reflects, ., which, as","decision, reflects, which, ation, produces"
167,negative,0.998619556427002,negative,0.998473584651947,0,0.4,0.6,"decreased, sales, to, ', eu","decreased, ., ., ., eu"
168,neutral,0.999103307723999,neutral,0.9992116689682007,0,0.4,0.6,"., industrial, include, as, ,","include, ,, ,, their, ,"
169,neutral,0.9992364645004272,neutral,0.9992197751998901,0,0.0,1.0,"and, which, of, and, shares","., votes, la, represents, op"
170,positive,0.9990311861038208,positive,0.9989135265350342,0,0.19999999999999996,0.8,"rose, to, from, ., s","rose, profit, net, quarter, ,"
171,neutral,0.9990178346633911,neutral,0.9988075494766235,0,0.4,0.6,"had, revenue, staff, ., 2008","revenue, approximately, recorded, ., ke"
172,neutral,0.9991587400436401,neutral,0.9990814924240112,0,0.4,0.6,"of, new, is, to, shares","new, maximum, number, million, shares"
173,neutral,0.9990831613540649,neutral,0.9991162419319153,0,0.0,1.0,"and, profit, was, ,, eu","group, s, ., 3, operating"
174,neutral,0.998504638671875,neutral,0.9986659288406372,0,0.8,0.19999999999999996,"amounted, earnings, share, 0, 01","amounted, earnings, share, eps, 01"
175,neutral,0.9991961121559143,neutral,0.9990496039390564,0,0.19999999999999996,0.8,"of, the, is, ., usd","value, million, estimated, ., deal"
176,neutral,0.9991806149482727,neutral,0.9991790652275085,0,0.19999999999999996,0.8,"is, ,, ., las, ton",",, ,, tam, own, manufacturer"
177,positive,0.999039351940155,positive,0.998984158039093,0,0.19999999999999996,0.8,"from, increased, to, by, sales","increased, their, year, last, ,"
178,neutral,0.9991577863693237,neutral,0.9992591738700867,0,0.0,1.0,"the, which, of, 68, following","out, shares, owns, ., 2007"
179,negative,0.9981297850608826,negative,0.9984579086303711,0,0.4,0.6,"negative, compared, a, eu, 18","negative, compared, 2008, ., r"
180,neutral,0.9991081357002258,neutral,0.9991216063499451,0,0.8,0.19999999999999996,"korean, service, including, and, different","service, including, korean, russian, different"
181,neutral,0.9991698265075684,neutral,0.9991564750671387,0,0.4,0.6,"not, did, disclose, the, the","not, price, acquisition, did, company"
182,positive,0.9990249872207642,positive,0.9989429116249084,0,0.4,0.6,"rose, to, to, doubled, from","rose, doubled, eu, eu, mn"
183,neutral,0.9991937279701233,neutral,0.9992088675498962,0,0.4,0.6,"and, be, administration, made, shares","made, ,, administration, 1, price"
184,positive,0.99903404712677,positive,0.9990025162696838,0,0.4,0.6,"increased, from, compared, period, sales","increased, period, ,, eu, operating"
185,negative,0.9982441663742065,negative,0.996942937374115,0,0.8,0.19999999999999996,"loss, operating, compared, profit, over","loss, operating, compared, profit, 2008"
186,neutral,0.999079704284668,neutral,0.9991918206214905,0,0.4,0.6,"are, ', of, s, sole","sole, ., ', business, company"
187,neutral,0.9991974234580994,neutral,0.9991121888160706,0,0.6,0.4,"is, nd, 2008, march, the","divide, ., march, nd, 2008"
188,positive,0.9990537762641907,positive,0.999076247215271,0,0.4,0.6,"from, up, led, eu, .","up, year, ., ., year"
189,positive,0.9990654587745667,positive,0.9990299940109253,0,0.6,0.4,"from, grew, to, ., percent","grew, revenue, ., percent, ."
190,positive,0.998878538608551,positive,0.9964653253555298,0,0.6,0.4,"won, deal, ., from, to","won, deal, airline, ., air"
191,neutral,0.9992056488990784,neutral,0.9991028308868408,0,0.4,0.6,"., into, put, will, ,","form, put, ', says, ,"
192,positive,0.9978965520858765,negative,0.9875442981719971,1,0.6,0.4,"widened, loss, net, its, from","loss, widened, said, net, solutions"
193,negative,0.9984361529350281,negative,0.9985542893409729,0,0.4,0.6,"fell, year, to, on, profit","fell, profit, %, net, 45"
194,neutral,0.9992008805274963,neutral,0.9989307522773743,0,0.4,0.6,"., its, near, make, the","near, plant, continue, make, nokia"
195,neutral,0.999163031578064,neutral,0.9985464215278625,0,0.0,1.0,"will, town, a, a, have","new, soon, owner, maine, ."
196,positive,0.9984568357467651,positive,0.9986993074417114,0,0.4,0.6,"strengthened, will, sales, be, said","strengthened, resources, also, ,, said"
197,neutral,0.9989456534385681,neutral,0.9988429546356201,0,0.6,0.4,"2008, m, system, net, in","m, 2008, system, usd, ."
198,neutral,0.9991549253463745,neutral,0.9991821646690369,0,0.19999999999999996,0.8,"of, invite, to, shares, their","%, shares, holding, shareholders, approximately"
199,positive,0.9987744688987732,positive,0.9986749291419983,0,0.8,0.19999999999999996,"received, has, ., significant, term","received, significant, ., order, term"
